ábaco	á.ba.co	[á].ba.co
anônima	a.nô.ni.ma	a.[nô].ni.ma
anônimas	a.nô.ni.mas	a.[nô].ni.mas
anônimo	a.nô.ni.mo	a.[nô].ni.mo
anônimos	a.nô.ni.mos	a.[nô].ni.mos
anoréxica	a.no.ré.xi.ca	a.no.[ré].xi.ca
anóxicos	a.nó.xi.cos	a.[nó].xi.cos
antagônica	an.ta.gô.ni.ca	an.ta.[gô].ni.ca
antagônicas	an.ta.gô.ni.cas	an.ta.[gô].ni.cas
antagônico	an.ta.gô.ni.co	an.ta.[gô].ni.co
antagônicos	an.ta.gô.ni.cos	an.ta.[gô].ni.cos
antártica	an.tár.ti.ca	an.[tár].ti.ca
antárticas	an.tár.ti.cas	an.[tár].ti.cas
antártico	an.tár.ti.co	an.[tár].ti.co
antárticos	an.tár.ti.cos	an.[tár].ti.cos
antártida	an.tár.ti.da	an.[tár].ti.da
antecâmara	an.te.câ.ma.ra	an.te.[câ].ma.ra
antepenúltima	an.te.pe.núl.ti.ma	an.te.pe.[núl].ti.ma
ântero	ân.te.ro	[ân].te.ro
antialérgicos	an.ti.a.lér.gi.cos	an.ti.a.[lér].gi.cos
antibiótico	an.ti.bi.ó.ti.co	an.ti.bi.[ó].ti.co
antibióticos	an.ti.bi.ó.ti.cos	an.ti.bi.[ó].ti.cos
antiburocrática	an.ti.bu.ro.crá.ti.ca	an.ti.bu.ro.[crá].ti.ca
antiburocrático	an.ti.bu.ro.crá.ti.co	an.ti.bu.ro.[crá].ti.co
antichagásica	an.ti.cha.gá.si.ca	an.ti.cha.[gá].si.ca
anticientífica	an.ti.ci.en.tí.fi.ca	an.ti.ci.en.[tí].fi.ca
anticientíficas	an.ti.ci.en.tí.fi.cas	an.ti.ci.en.[tí].fi.cas
anticientífico	an.ti.ci.en.tí.fi.co	an.ti.ci.en.[tí].fi.co
anticolinérgicos	an.ti.co.li.nér.gi.cos	an.ti.co.li.[nér].gi.cos
anticrético	an.ti.cré.ti.co	an.ti.[cré].ti.co
anticrítica	an.ti.crí.ti.ca	an.ti.[crí].ti.ca
antidemocrática	an.ti.de.mo.crá.ti.ca	an.ti.de.mo.[crá].ti.ca
antidemocrático	an.ti.de.mo.crá.ti.co	an.ti.de.mo.[crá].ti.co
antidiabética	an.ti.di.a.bé.ti.ca	an.ti.di.a.[bé].ti.ca
antidialógica	an.ti.di.a.ló.gi.ca	an.ti.di.a.[ló].gi.ca
antídoto	an.tí.do.to	an.[tí].do.to
antídotos	an.tí.do.tos	an.[tí].do.tos
antiecológicos	an.tie.co.ló.gi.cos	an.tie.co.[ló].gi.cos
antieconômica	an.tie.co.nô.mi.ca	an.tie.co.[nô].mi.ca
antiestáticos	an.tie.s.tá.ti.cos	an.tie.s.[tá].ti.cos
antiética	an.ti.é.ti.ca	an.ti.[é].ti.ca
antiéticas	an.ti.é.ti.cas	an.ti.[é].ti.cas
antiético	an.ti.é.ti.co	an.ti.[é].ti.co
antiéticos	an.ti.é.ti.cos	an.ti.[é].ti.cos
antiferromagnética	an.ti.fe.rro.mag.né.ti.ca	an.ti.fe.rro.mag.[né].ti.ca
antiferromagnéticas	an.ti.fe.rro.mag.né.ti.cas	an.ti.fe.rro.mag.[né].ti.cas
antiferromagnético	an.ti.fe.rro.mag.né.ti.co	an.ti.fe.rro.mag.[né].ti.co
antifisético	an.ti.fi.sé.ti.co	an.ti.fi.[sé].ti.co
antifúngica	an.ti.fún.gi.ca	an.ti.[fún].gi.ca
antifúngico	an.ti.fún.gi.co	an.ti.[fún].gi.co
antifúngicos	an.ti.fún.gi.cos	an.ti.[fún].gi.cos
antigênica	an.ti.gê.ni.ca	an.ti.[gê].ni.ca
